Location,Source,Category,Id,Description,ForensicValue,Comment
all,Application,error,1000,Application Error,,
all,Application,error,1001,Windows Error Reporting,,
all,Application,error,1002,Application Hang,,
all,Microsoft-Windows-PowerShell/ETW/,pwsh,53504,PowerShell CommandExecution Event,,
all,Microsoft-Windows-PowerShell/Operational,pwsh,4103,Module logging and pipeline output,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,4104,Script Block Logging,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,8193,Pipeline Execution Start,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,8194,Pipeline Execution Stop,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,8197,Command Invocation,,PowerShell 5 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40961,PowerShell Core Engine Start,,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40962,PowerShell Core Engine Stop,,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40970,Script Block Logging (PowerShell Core),,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40971,Pipeline Execution / Engine Invocation Details,,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40972,Command Invocation (PowerShell Core),,PowerShell 7 event
all,Microsoft-Windows-RemoteDesktopServices-RDPCoreTS/Operational,rdp,98,Successful Connections,Source IP - Session ID,
all,Microsoft-Windows-RemoteDesktopServices-RDPCoreTS/Operational,rdp,131,Connection Attempts,Source IP,
all,Microsoft-Windows-SmbClient/Security,smb,31001,Failed logon to destination,Destination Host Name - User Name for failed logon - Reason code for failed destination logon,
all,Microsoft-Windows-Sysmon/Operational,sysmon|execution,1,Process creation,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,2,Process changed file creation time,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,3,Network connection detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,4,Sysmon service state changed,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,5,Process terminated,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,6,Driver loaded,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,7,Image loaded,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,8,CreateRemoteThread,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,9,RawAccessRead,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,10,ProcessAccess,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,11,FileCreate,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,12,RegistryEvent (Object create and delete),,
all,Microsoft-Windows-Sysmon/Operational,sysmon,13,RegistryEvent (Value set),,
all,Microsoft-Windows-Sysmon/Operational,sysmon,14,RegistryEvent (Key and value rename),,
all,Microsoft-Windows-Sysmon/Operational,sysmon,15,FileCreateStreamHash,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,16,Sysmon config state changed,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,17,Pipe created,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,18,Pipe connected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,19,WmiEventFilter activity detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,20,WmiEventConsumer activity detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,21,WmiEventConsumerToFilter activity detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,22,DNSEvent,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,23,FileDelete,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,24,ClipboardChange,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,25,Process Tampering,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,26,File Delete Logged,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,27,File Block Executable,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,28,File Block Shredding,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,29,File Executable detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,225,Error,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,106,Scheduled task created/changed,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,140,Scheduled task updated,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,141,Scheduled task deleted,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,200,Scheduled task executed,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,201,Scheduled task completed,,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,21,Remote Desktop Services: Session logon succeeded,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,22,Remote Desktop Services: Shell start notification received,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,24,Remote Desktop Services: Session has been disconnected:,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,25,Session reconnection succeeded,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,41,Begin session arbitration,Logon User Name,
all,Microsoft-Windows-TerminalServices-RDPClient/Operational,rdp,1024,RDP client initiates a connection to a remote host,Destination Host Name,
all,Microsoft-Windows-TerminalServices-RDPClient/Operational,rdp,1102,The Client has initiated a multi-transport connection,Destination IP Address,
all,Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational,rdp,1149,User authentication succeeded (Network level auth),Source IP - Logon User Name,
all,Microsoft-Windows-WMI-Activity/Operational,wmi,5857,Indicates time of wmiprvse execution and path to provider DLL,,
all,Microsoft-Windows-WMI-Activity/Operational,wmi,5858,records query errors including host and username,,
all,Microsoft-Windows-WMI-Activity/Operational,wmi,5860,Temporary Event Consumer Registration,,
all,Microsoft-Windows-WMI-Activity/Operational,wmi,5861,Permanent Event Consumer Registration,,
all,Microsoft-Windows-WinRM/Operational,winrm,6,Remote Authentication Error,,
all,Microsoft-Windows-WinRM/Operational,winrm,8,WSMan Session Deinitialize,,
all,Microsoft-Windows-WinRM/Operational,winrm,15,WSMan Session Deinitialize,,
all,Microsoft-Windows-WinRM/Operational,winrm,16,WSMan Session Deinitialize,,
all,Microsoft-Windows-WinRM/Operational,winrm,33,WSMan Session Deinitialize,,
all,Microsoft-Windows-WinRM/Operational,winrm,91,Session Creation,,
all,Microsoft-Windows-WinRM/Operational,winrm,142,WSMan Operation failure,,
all,Microsoft-Windows-WinRM/Operational,winrm,161,WSMan Session Initialize,,
all,Microsoft-Windows-WinRM/Operational,winrm,169,Records authenticating user,,
all,Microsoft-Windows-Windows Defender/Operational,antivir,1116,Malware detected,,
all,Microsoft-Windows-Windows Defender/Operational,antivir,1117,Malware action taken,,
all,Microsoft-Windows-Windows Defender/Operational,antivir,1118,Malware action failed,,
all,Microsoft-Windows-Windows Defender/Operational,antivir,1119,Malware action critical failure,,
all,Security,logclear,1102,Audit log cleared,,
all,security,time,4616,The system time has changed,,
all,Security,auth,4622,A security package has been loaded by the Local Security Authority,Path of Loaded Security Package,
all,Security,auth,4624,Successful Logon,Source IP - Source Host Name - Logon User Name,
all,Security,auth,4625,Failed Logon,,
all,Security,auth,4627,Group Membership Information,,
all,Security,auth,4634,Successful Logoff,,
all,Security,auth,4647,Successful Logoff,,
all,Security,auth,4648,Logon using explicit credentials (RunAs),Current logged-on User Name - Alternate User Name - Destination Host Name/IP - Process Name,
all,Security,access,4656,A handle to an object was requested,,Object access tracking
all,Security,reg,4657,Registry value changed,,
all,Security,access,4658,A handle to an object was closed,,Shows completion of object operations
all,Security,access,4660,An object was deleted,,deletion of files/objects
dc,Security,ad,4662,An operation was performed on an object.,Account Name - Accessed AD Object - Operation Type - Access Info,Answers for: Who performed the operation? Which AD object was accessed? What operation was performed?; 4662 alone does NOT mean modification — only that an operation occurred. 5136 and others confirm modification.
all,Security,access,4663,An attempt was made to access an object.,User Name - Object Name (FilePath; RegPath etc.) - Process Name - Access Operation,Answers for: Who accesed the object? What object was accessed? (File; RegKey etc.) What operation was attempted? (Read; Write; Delete etc.) Which process is responsible?
all,Security,perm,4670,Object permissions changed,User Name - Object Name - Old/New ACL,Answers for: Who altered permissions? Which objects permissions? What is the old ACL and new ACL?
all,Security,auth,4672,Account logon with superuser rights (Administrator),Logon User Name - Logon by user with administrative rights,
all,Security,execution,4688,A new process has been created,,
all,Security,access,4691,Indirect access to an object was requested,,
all,Security,service,4697,A new service was installed on the system,,
all,Security,schedtask,4698,Scheduled task created,,
all,Security,schedtask,4699,Scheduled task deleted,,
all,Security,schedtask,4700,Scheduled task enabled,,
all,Security,schedtask,4701,Scheduled task disabled,,
all,Security,schedtask,4702,Scheduled task updated,,
all,security,user,4704,A user right was assigned,,
all,security,user,4705,A user right was removed,
all,security,ad,4706,A new trust was created to a domain,,
dc,Security,ad,4713,Kerberos Policy changed,,
dc,Security,ad,4716,Trusted domain info modified,,
dc,Security,ad,4719,Audit policy changed,,
all,Security,user,4720,An account was created,,
all,Security,user,4722,A user account was enabled,,
all,Security,user,4723,An attempt was made to change an account’s password,,
all,Security,user,4724,An attempt was made to reset an account’s password,,
all,Security,user,4725,A user account was disabled,,
all,Security,user,4726,An account was deleted,,
all,Security,group,4728,A member was added to a security-enabled global group,,
all,Security,group,4729,A member was removed from a security-enabled global group,,
all,Security,group,4732,A member was added to a security-enabled local group,,
all,Security,group,4733,A member was removed from a security-enabled local group,,
all,Security,group,4735,A security-enabled local group was changed,,
all,Security,user,4738,A user account was changed,,
dc,Security,ad,4739,Domain policy was changed,,
all,Security,user,4740,A user account was locked,,
all,Security,group,4756,A member was added to a security-enabled universal group,,
all,Security,group,4757,A member was removed from a security-enabled universal group,,
all,Security,group,4758,A security-enabled universal group was deleted,,
all,Security,user,4767,A user account was unlocked,,
dc,Security,ad,4768,Ticket Granting Ticket was granted (successful logon),Source Host Name - Logon User Name,
dc,Security,ad,4769,Service Ticket requested (access to server ressource),Destination Host Name - Logon User Name - Source IP,
dc,Security,ad,4770,Kerberos Ticket renewed,,
dc,Security,ad,4771,Pre-authentication failed (failed login),,
dc,Security,ad,4776,The domain controller attempted to validate the credentials for an account,Source Host Name - Logon User Name,
dc,Security,ad,4777,The domain controller failed to validate the credentials for an account,,
all,Security,rdp,4778,Session Reconnected (RDP),Source IP - Source Host Name - Logon User Name,
all,Security,rdp,4779,Session Disconnected (RDP),,
all,Security,user,4798,A users local group membership was enumerated,,
all,Security,group,4799,A security-enabled local group membership was enumerated,,
dc,Security,ad,4928,An Active Directory replica source naming context was established,,Relevant for DCSync and DCShadow
dc,Security,ad,4929,An Active Directory replica source naming context was removed,,Relevant for DCSync and DCShadow
all,Security,fw,4944,The following policy was active when the Windows Firewall started,,
all,Security,fw,4945,A rule was listed when the Windows Firewall started,,
all,Security,fw,4946,A change has been made to Windows Firewall exception list. A rule was added,,
all,Security,fw,4947,A change has been made to Windows Firewall exception list. A rule was modified,,
all,Security,fw,4948,A change has been made to Windows Firewall exception list. A rule was deleted,,
all,Security,fw,4949,Windows Firewall settings were restored to the default values,,
all,Security,fw,4950,A Windows Firewall setting has changed,,
all,Security,fw,5025,The Windows Firewall Service has been stopped,,
all,Security,fw,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,,
dc,Security,ad,5136,A directory service object was modified,,
dc,Security,ad,5137,A directory service object was created,,
dc,Security,ad,5138,A directory service object was undeleted,,
dc,Security,ad,5139,A directory service object was moved,,
all,Security,netshare,5140,Network share was accessed,User Account Name - Share Name - Share Path - Source IP - Source Port - Access Information,
dc,Security,ad,5141,A directory service object was deleted,,
all,Security,netshare,5142,Network share object was added,,
all,Security,netshare,5143,Network share object was modified,,
all,Security,netshare,5144,Network share object was deleted,,
all,Security,netshare,5145,Network share object was checked to see whether client can be granted desired access,User Account Name - Share Name - Share Path -  Source IP/Port - Access Information,
all,System,logclear,104,Audit log cleared,,
all,System,service,7034,Service crashed unexpectedly,,
all,System,service,7035,Service sent a Start/Stop control,,
all,System,service,7036,Service started or stopped,,
all,System,service,7040,Service Start type changed (Boot / On Request / Disabled),Account Name - Service Name - Start Type,
all,System,service,7045,A new service was installed on the system,Service Name - Service File Name/Path - Account Name who installed,
all,Windows PowerShell,pwsh,400,ServerRemoteHost indicates start/end of Remoting Session,,
all,Windows PowerShell,pwsh,403,ServerRemoteHost indicates start/end of Remoting Session,,
all,Windows PowerShell,pwsh,800,Includes partial script code,,